Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
LYON Academy,15,LAT,8,0.25,0.84,1785,-140,1900-01-01 13:04:00,18.4,21.6,6.3,8.6,25.0,12.5,25.0,2.25,41.3,1.9,75.0,37.5,1.0,-0.4,-1094.0,2.5,1.38,61.1,30.1,2685.0,2.9,1.04,1.28,3
Macko Esports,15,IT,19,0.789,1.58,1949,270,1900-01-01 07:03:00,18.6,11.7,8.5,3.7,42.1,63.2,63.2,2.0,46.4,3.3,47.4,52.6,0.63,0.4,1445.0,7.16,0.63,73.3,33.4,2955.0,2.8,0.69,1.0,3
Malvinas Gaming,15,LAT,8,0.5,0.98,1810,-45,1900-01-01 14:15:00,21.6,22.0,6.6,6.8,87.5,75.0,75.0,2.88,53.4,2.8,37.5,62.5,1.25,0.1,-26.0,3.0,0.75,62.5,30.1,3151.0,3.0,1.04,1.4,3
Maze Gaming,15,LAT,5,0.8,1.43,1898,90,1900-01-01 13:44:00,28.8,20.2,8.6,6.0,60.0,60.0,60.0,3.8,68.7,1.6,0.0,20.0,0.8,0.0,-277.0,2.0,0.8,50.0,29.5,3698.0,3.3,1.21,1.33,3
mCon esports,15,NL,27,0.667,1.4,1863,135,1900-01-01 08:18:00,17.4,12.3,7.6,5.1,66.7,70.4,81.5,2.78,59.4,2.8,63.0,77.8,1.19,0.2,917.0,4.37,0.67,67.4,31.7,2517.0,2.8,0.92,1.17,3
Meavedron,15,CZ,8,0.375,0.81,1803,-60,1900-01-01 07:40:00,15.3,18.8,5.5,6.9,25.0,62.5,37.5,1.88,45.4,2.6,50.0,75.0,0.5,0.1,-1600.0,3.63,0.25,33.3,31.5,2596.0,2.8,0.82,1.03,3
MGN Vikings Esports,15,VN,31,0.613,1.14,1881,95,1900-01-01 08:30:00,15.2,13.3,6.6,5.0,38.7,61.3,54.8,2.77,63.9,3.1,51.6,58.1,1.1,0.0,583.0,4.42,0.61,54.0,34.2,2743.0,3.7,1.27,1.67,3
Misa Esports,15,TR,32,0.656,1.14,1892,87,1900-01-01 07:15:00,18.0,15.8,6.9,4.8,40.6,62.5,56.3,2.25,52.2,3.3,43.8,62.5,0.69,0.2,434.0,3.75,0.5,50.0,32.6,2799.0,3.0,1.14,1.41,3
Movistar KOI,15,EUW,29,0.586,1.28,1854,85,1900-01-01 08:47:00,14.6,11.4,7.0,5.0,65.5,65.5,62.1,2.48,56.4,3.8,69.0,55.2,0.69,0.3,793.0,4.38,0.69,63.5,33.4,2557.0,3.6,1.41,1.74,2
Movistar KOI Fénix,15,ES,18,0.5,1.19,1825,64,1900-01-01 10:23:00,15.7,13.1,6.4,6.2,61.1,61.1,72.2,2.0,44.2,3.4,47.1,50.0,0.89,-0.1,632.0,4.33,0.56,54.4,32.1,2761.0,3.2,1.15,1.33,3
MY STAR,15,PL,18,0.389,0.84,1768,-100,1900-01-01 08:43:00,13.7,16.3,4.6,7.2,50.0,55.6,38.9,1.89,43.8,2.6,44.4,38.9,0.56,-0.1,-500.0,3.44,0.28,30.0,32.0,2582.0,2.7,0.69,1.13,3
