Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
Odivelas Sports Club,15,PT,10,0.5,1.06,1798,6,1900-01-01 07:16:00,15.4,14.5,5.8,5.7,60.0,60.0,50.0,2.2,49.5,3.8,50.0,50.0,1.2,0.4,460.0,3.7,0.4,31.3,31.7,2391.0,2.8,0.93,1.01,3
OK BRION,15,KR,38,0.421,1.02,1827,-38,1900-01-01 08:32:00,14.6,14.4,5.4,6.5,57.9,50.0,28.9,1.79,40.4,3.0,63.2,26.3,0.74,-0.1,248.0,3.79,0.39,38.1,33.6,2529.0,3.5,1.4,1.64,1
OK BRION Challengers,15,KR,33,0.424,0.8,1808,-82,1900-01-01 06:52:00,12.5,15.5,4.9,6.4,57.6,39.4,24.2,1.82,43.7,2.2,36.4,30.3,0.7,-0.1,-614.0,3.97,0.48,49.0,33.7,2467.0,3.6,1.49,1.63,1
OMG,15,CN,22,0.318,0.74,1767,-180,1900-01-01 08:55:00,12.9,17.4,4.3,8.0,27.3,45.5,18.2,1.73,39.7,3.2,31.8,47.25,0.83,-0.1,-802.0,4.18,0.5,43.9,32.7,2429.0,3.3,1.26,1.48,1
Once Upon A Team,15,NL,17,0.529,0.92,1749,-102,1900-01-01 08:55:00,13.9,15.0,5.7,6.7,35.3,35.3,47.1,2.12,44.7,3.0,70.6,35.3,1.0,-0.1,-938.0,2.65,0.41,40.0,31.7,2170.0,3.0,1.12,1.16,3
One More Esports,15,AL,33,0.515,0.96,1827,-36,1900-01-01 07:57:00,16.6,17.2,6.2,6.3,57.6,42.4,42.4,2.61,57.1,2.7,46.9,51.5,0.97,-0.1,-362.0,4.55,0.52,46.8,31.3,2884.0,2.9,0.68,0.91,3
Orbit Anonymo Esports,15,PL,21,0.333,0.66,1746,-169,1900-01-01 08:11:00,12.0,18.2,4.4,7.5,33.3,23.8,33.3,2.1,45.1,2.3,30.0,28.6,0.95,-0.4,-1220.0,3.29,0.52,48.1,32.2,2454.0,2.7,0.79,0.94,3
paiN Gaming,15,LAT,16,0.5,0.97,1830,0,1900-01-01 11:03:00,14.6,15.1,6.3,6.1,43.8,56.3,56.3,2.88,61.3,3.0,43.8,31.3,1.0,0.1,108.0,4.0,0.94,59.4,32.9,2686.0,3.7,1.37,1.65,3
Papara SuperMassive,15,TR,42,0.571,1.13,1872,39,1900-01-01 09:26:00,18.8,16.7,6.3,5.8,42.9,57.1,50.0,2.45,54.7,3.0,52.4,59.5,0.95,0.0,502.0,3.69,0.69,53.7,32.7,2912.0,3.5,1.1,1.31,3
Partizan Sangal,15,RS,13,0.692,1.48,1933,189,1900-01-01 08:56:00,21.7,14.7,8.0,4.9,30.8,53.8,46.2,2.69,58.8,3.2,53.8,84.6,0.92,-0.2,133.0,5.0,0.92,72.7,31.8,3103.0,2.9,1.14,1.14,3
PEEK Gaming,15,LAT,9,0.556,0.98,1843,22,1900-01-01 12:03:00,17.3,17.7,7.7,6.8,55.6,66.7,55.6,2.78,52.5,3.4,33.3,44.4,1.0,0.3,831.0,5.44,0.78,58.3,31.4,2896.0,3.2,1.19,1.24,3
Project Conquerors,15,FR,31,0.677,1.14,1934,114,1900-01-01 09:57:00,19.3,16.8,7.5,5.5,35.5,51.6,32.3,2.55,50.7,2.7,38.7,48.4,0.77,-0.4,-269.0,5.1,0.81,63.6,32.9,2949.0,2.9,0.45,1.09,3
Pulse Star,15,NA,10,0.2,0.51,1669,-291,1900-01-01 07:08:00,9.5,18.6,3.7,8.0,30.0,30.0,40.0,2.0,44.5,2.9,40.0,40.0,1.1,-0.1,-1488.0,4.1,0.2,20.0,31.4,2157.0,2.5,0.66,1.17,2
QT DIG,15,JP,6,1.0,2.3,2047,457,1900-01-01 07:14:00,23.0,9.8,10.5,1.7,50.0,100.0,100.0,3.0,72.0,4.8,100.0,66.7,1.0,1.2,3449.0,5.5,1.0,93.3,33.6,3018.0,3.3,1.37,1.29,3
Ramboot Club,15,ES,18,0.556,1.14,1858,48,1900-01-01 08:31:00,16.4,14.4,6.6,5.8,44.4,33.3,44.4,2.67,59.1,2.8,61.1,50.0,0.89,-0.2,27.0,2.94,0.5,51.2,32.7,2816.0,3.2,1.1,1.36,3
RATZ,15,BR,11,0.364,0.78,1799,-51,1900-01-01 12:12:00,13.9,17.7,6.4,7.5,45.5,36.4,36.4,2.36,42.2,2.7,45.5,63.6,0.73,-0.1,-551.0,3.55,0.73,45.0,33.1,2419.0,3.3,1.11,1.54,3
RED Academy,15,BR,13,0.538,1.03,1824,-16,1900-01-01 07:56:00,14.8,14.5,6.0,6.6,61.5,30.8,76.9,2.46,57.6,3.5,61.5,46.2,1.0,-0.2,-26.0,3.38,0.54,60.0,33.3,2566.0,3.5,1.4,1.65,3
RED Canids,15,LAT,12,0.5,1.03,1801,-35,1900-01-01 11:44:00,15.1,14.6,6.3,6.4,41.7,41.7,58.3,3.0,57.4,2.9,41.7,58.3,1.25,0.2,-15.0,4.0,0.5,40.9,32.0,2954.0,3.2,1.19,1.51,3
REJECT,15,JP,6,0.833,1.87,2048,371,1900-01-01 08:14:00,24.0,12.8,9.2,3.3,50.0,66.7,66.7,2.5,64.6,3.8,50.0,66.7,1.0,0.7,1784.0,6.33,1.0,86.7,33.4,3298.0,3.2,1.28,1.29,3
Rich Gang,15,EUW,18,0.444,0.87,1834,-27,1900-01-01 07:42:00,14.3,16.4,6.3,6.4,38.9,50.0,44.4,2.22,47.8,2.8,38.9,44.4,0.94,-0.1,-186.0,4.5,0.44,46.4,32.5,2592.0,2.8,0.64,1.08,3
Rise Gaming,15,BR,9,0.111,0.65,1675,-247,1900-01-01 10:09:00,8.9,13.7,3.7,9.0,55.6,44.4,33.3,2.11,41.2,2.7,37.5,33.3,0.89,0.1,-451.0,3.0,0.22,16.7,33.3,2184.0,3.4,1.28,1.49,3
Rogue,15,EUW,20,0.2,0.7,1693,-202,1900-01-01 12:49:00,11.3,16.0,5.0,8.6,45.0,40.0,45.0,2.25,40.4,3.2,40.0,35.0,0.95,-0.1,-468.0,3.65,0.65,32.9,31.4,2330.0,3.6,1.2,1.35,2
ROSSMANN Centaurs,15,DE,18,0.444,0.77,1854,-61,1900-01-01 09:13:00,15.3,19.8,6.7,6.5,27.8,44.4,44.4,2.78,57.1,2.8,50.0,27.8,1.0,0.2,-614.0,4.67,0.44,36.8,33.6,2834.0,2.9,0.89,1.18,3
Royal Never Give Up,15,CN,21,0.333,0.75,1754,-148,1900-01-01 11:21:00,12.3,16.3,4.7,7.8,33.3,33.3,23.8,2.0,39.3,2.3,23.8,47.25,0.83,-0.1,-571.0,4.18,0.38,21.4,33.3,2243.0,3.5,1.35,1.55,1
Saigon Dino,15,VN,18,0.556,1.07,1873,34,1900-01-01 08:44:00,18.7,17.3,6.2,5.9,66.7,55.6,55.6,2.67,57.1,2.7,66.7,50.0,1.22,-0.1,-179.0,4.39,0.67,61.1,32.4,2814.0,3.6,1.55,1.56,3
Saigon Secret,15,VN,17,0.529,1.1,1904,62,1900-01-01 06:18:00,16.9,15.4,6.6,4.9,52.9,47.1,52.9,2.06,49.8,3.4,47.1,64.7,0.88,-0.1,373.0,3.65,0.47,46.7,34.0,2791.0,3.7,1.65,1.43,3
Senshi eSports,15,NL,12,0.25,0.84,1793,-81,1900-01-01 11:07:00,16.2,19.3,5.1,7.8,50.0,41.7,25.0,2.58,50.4,1.8,9.1,25.0,1.08,-0.2,-320.0,3.83,1.0,90.5,31.9,2843.0,3.1,0.86,1.06,3
Seven Dark,15,LAT,8,0.5,1.07,1830,36,1900-01-01 08:51:00,16.4,15.3,5.9,6.5,37.5,47.2,12.5,1.63,33.5,2.8,62.5,25.0,0.38,-0.1,-182.0,3.25,0.5,50.0,31.8,2692.0,3.3,1.33,1.18,3
Shopify Rebellion,15,NA,11,0.273,0.59,1677,-226,1900-01-01 09:59:00,9.3,15.6,4.3,7.9,36.4,18.2,36.4,1.45,27.8,2.9,45.5,36.4,0.55,-0.3,-1139.0,2.0,0.27,22.7,32.3,2270.0,3.3,1.21,1.27,2
Sicar Esports,15,LAT,2,1.0,1.54,2028,284,1900-01-01 14:59:00,30.0,19.5,10.0,3.5,49.0,47.2,47.599999999999994,2.0,35.0,4.5,100.0,100.0,0.0,-0.5,1128.0,3.5,1.0,50.0,31.3,3678.0,3.3,1.07,1.63,3
Silent Storm Esports,15,VN,10,0.3,0.69,1853,-180,1900-01-01 04:36:00,17.2,25.1,4.3,8.3,20.0,20.0,10.0,2.2,54.3,1.6,40.0,20.0,1.1,-0.6,-2649.0,5.4,0.3,37.5,31.0,2637.0,3.6,1.2,1.08,3
SK Gaming,15,EUW,17,0.294,0.52,1719,-238,1900-01-01 06:52:00,9.0,17.1,4.5,8.1,47.1,47.1,41.2,1.82,42.6,2.8,47.1,35.3,0.71,0.0,-576.0,5.18,0.29,25.0,32.8,2269.0,3.2,1.19,1.3,2
Skillcamp,15,FR,16,0.188,0.53,1672,-309,1900-01-01 05:37:00,10.2,19.1,3.4,8.5,37.5,31.3,43.8,1.75,42.1,2.2,31.3,18.8,1.19,-0.6,-2068.0,3.13,0.25,25.0,30.6,2377.0,3.0,0.97,1.14,3
Solary,15,FR,23,0.522,1.12,1837,4,1900-01-01 11:14:00,15.7,14.0,6.3,6.2,73.9,56.5,69.6,2.48,51.9,3.2,52.2,47.8,0.52,0.1,787.0,5.61,0.57,47.5,33.0,2564.0,3.6,1.15,1.34,3
SPIKE Syndicate,15,RS,13,0.538,1.16,1870,79,1900-01-01 10:28:00,19.1,16.3,7.2,5.4,69.2,38.5,69.2,2.69,53.5,4.0,53.8,46.2,0.92,0.2,1459.0,5.15,0.85,66.7,31.7,2823.0,2.8,1.04,1.15,3
Spirit Quartz Gaming,15,JP,6,0.333,0.77,1673,-163,1900-01-01 08:40:00,15.3,19.8,4.3,7.0,50.0,33.3,33.3,1.67,40.6,2.3,66.7,66.7,0.17,-0.2,-558.0,4.67,0.17,20.0,28.3,2913.0,3.1,0.91,1.03,3
Stellage Gaming,15,BR,10,0.6,1.0,1855,43,1900-01-01 10:27:00,14.1,14.0,6.9,5.9,20.0,60.0,30.0,1.8,34.2,3.6,11.1,60.0,0.5,-0.2,-436.0,2.4,1.0,58.3,33.8,2461.0,3.6,1.3,1.63,3
Supernova,15,NA,8,0.25,0.58,1735,-191,1900-01-01 08:16:00,12.1,20.8,4.8,8.4,25.0,62.5,25.0,0.88,18.8,3.9,37.5,37.5,0.25,0.5,-563.0,5.63,0.38,25.0,31.3,2636.0,2.7,0.55,1.05,2
T1,15,KR,35,0.514,1.01,1871,34,1900-01-01 08:46:00,14.9,14.7,6.1,5.5,65.7,45.7,42.9,1.91,46.5,2.4,25.7,51.4,0.77,0.0,193.0,4.89,0.69,62.8,34.0,2667.0,3.6,1.39,1.49,1
T1 Esports Academy,15,KR,47,0.532,0.94,1878,43,1900-01-01 08:12:00,13.5,14.4,6.4,5.3,31.9,55.3,44.7,2.11,48.7,2.8,42.6,38.3,0.89,0.0,33.0,4.57,0.66,62.8,34.6,2537.0,3.9,1.55,1.6,1
TALON,15,TW,32,0.625,1.25,1860,97,1900-01-01 07:29:00,15.0,11.9,6.7,4.9,68.8,71.9,59.4,1.94,47.7,3.2,56.3,62.5,0.5,0.1,97.0,4.22,0.63,69.3,32.8,2742.0,3.4,1.29,1.59,3
TALON Academy,15,TW,23,0.565,1.32,1907,92,1900-01-01 06:40:00,19.6,14.9,6.7,5.4,60.9,43.5,65.2,2.39,60.2,3.0,73.9,43.5,1.13,0.1,725.0,3.61,0.52,61.1,32.1,2887.0,2.9,1.03,1.35,3
Tani eSports CZ,15,CZ,10,0.3,0.86,1787,-92,1900-01-01 11:14:00,16.1,18.8,5.8,8.3,80.0,40.0,40.0,2.1,41.6,4.2,80.0,50.0,0.7,0.3,1204.0,3.6,0.5,44.4,31.9,2837.0,3.2,0.98,1.15,3
Team BDS,15,EUW,29,0.414,1.02,1782,-32,1900-01-01 11:05:00,14.9,14.6,6.0,6.4,55.2,62.1,72.4,2.41,47.6,3.3,65.5,51.7,0.83,0.2,363.0,3.48,0.69,54.0,31.8,2755.0,3.3,1.26,1.51,2
Team BDS Academy,15,FR,6,0.167,0.48,1713,-325,1900-01-01 05:35:00,10.5,22.0,3.7,8.0,50.0,50.0,33.3,1.83,42.8,2.2,16.7,16.7,1.0,-0.3,-1543.0,3.5,0.33,25.0,32.3,2410.0,3.1,1.29,1.34,3
Team Flash,15,VN,26,0.577,1.18,1885,65,1900-01-01 09:22:00,18.0,15.2,6.6,5.5,46.2,61.5,65.4,2.54,52.5,3.6,65.4,65.4,0.77,0.5,1019.0,4.88,0.62,52.0,33.3,2703.0,3.6,1.48,1.58,3
Team Heretics,15,EUW,26,0.346,0.67,1730,-175,1900-01-01 09:51:00,10.7,15.9,4.5,8.0,46.2,34.6,30.8,2.04,41.0,2.8,46.2,30.8,0.85,-0.3,-822.0,3.12,0.31,27.3,33.0,2394.0,3.3,1.26,1.58,2
Team Insidious,15,GR,19,0.263,0.8,1760,-158,1900-01-01 08:05:00,15.4,19.1,4.4,7.7,52.6,42.1,36.8,2.32,50.3,2.6,47.4,47.4,0.89,-0.2,-670.0,3.68,0.26,28.6,31.3,2564.0,2.8,0.88,0.98,3
Team Liquid,15,NA,31,0.581,1.04,1824,22,1900-01-01 08:12:00,14.7,14.1,6.0,5.3,54.8,54.8,54.8,2.65,59.1,3.2,41.9,58.1,1.03,0.3,374.0,4.1,0.61,56.5,32.2,2694.0,3.3,1.26,1.55,2
Team Paradox,15,GR,21,0.476,0.8,1791,-37,1900-01-01 07:13:00,17.0,21.0,6.2,6.0,33.3,66.7,42.9,1.76,42.0,2.9,25.0,52.4,0.67,0.1,-68.0,4.67,0.48,47.2,29.3,2588.0,2.6,0.67,0.95,3
Team Phantasma,15,GR,41,0.707,1.27,1952,160,1900-01-01 08:10:00,19.6,15.2,7.8,5.0,43.9,56.1,58.5,2.59,55.6,2.6,56.1,53.7,1.05,0.0,400.0,5.12,0.73,64.0,33.4,2853.0,3.1,1.1,1.17,3
Team Refuse,15,GR,14,0.143,0.53,1725,-280,1900-01-01 07:32:00,13.1,24.4,3.9,9.1,57.1,14.3,7.1,1.86,42.1,1.1,35.7,28.6,0.93,-0.6,-2260.0,3.79,0.36,30.0,30.5,2645.0,2.5,0.52,0.94,3
Team Secret Club,15,RS,9,0.444,0.81,1791,-116,1900-01-01 06:59:00,16.9,20.8,4.3,7.2,55.6,44.4,33.3,2.56,55.6,1.9,44.4,22.2,1.33,0.0,539.0,4.56,0.22,33.3,31.3,2927.0,3.0,0.81,0.86,3
Team Secret Whales,15,VN,17,0.588,1.06,1836,11,1900-01-01 11:03:00,15.2,14.4,6.6,6.2,58.8,52.9,58.8,2.76,55.8,3.1,64.7,52.9,1.06,-0.3,163.0,4.12,0.41,32.1,33.2,2694.0,3.4,1.47,1.58,3
Team UNiTY,15,CZ,13,0.538,1.15,1881,72,1900-01-01 09:19:00,16.9,14.7,7.5,6.2,46.2,46.2,69.2,2.38,51.1,3.2,23.1,38.5,0.92,0.3,501.0,4.08,0.62,48.5,33.1,2686.0,2.7,0.75,1.05,3
Team Valiant,15,FR,21,0.619,1.37,1933,161,1900-01-01 07:33:00,19.2,14.0,7.6,4.9,61.9,76.2,76.2,2.57,61.9,4.1,66.7,66.7,0.81,0.5,1548.0,4.95,0.57,50.0,32.1,2744.0,3.2,1.19,1.18,3
Team Vitality,15,EUW,20,0.4,0.87,1789,-35,1900-01-01 11:24:00,14.3,16.4,6.0,7.1,55.0,55.0,35.0,2.25,44.6,2.8,45.0,65.0,0.75,-0.3,-698.0,4.0,0.5,49.1,32.1,2755.0,3.4,1.32,1.43,2
Team WE,15,CN,27,0.259,0.66,1758,-164,1900-01-01 08:22:00,11.1,16.8,4.0,7.4,44.4,44.4,33.3,1.52,37.4,3.1,44.4,47.25,0.83,-0.1,-624.0,4.18,0.33,29.4,33.4,2328.0,3.4,1.35,1.58,1
TeamOrangeGaming,15,DE,22,0.545,1.06,1849,27,1900-01-01 07:11:00,14.6,13.8,6.7,5.9,50.0,72.7,63.6,2.27,53.2,3.8,72.7,68.2,0.91,0.3,564.0,4.91,0.45,53.1,33.1,2750.0,3.0,1.04,1.12,3
The Ruddy Sack,15,EUW,22,0.545,1.09,1892,100,1900-01-01 07:58:00,18.9,17.3,7.0,5.3,36.4,59.1,63.6,2.27,53.6,3.0,61.9,63.6,1.0,-0.2,728.0,4.33,0.36,50.0,32.3,2842.0,2.9,0.9,1.23,3
Top Esports,15,CN,60,0.65,1.09,1887,105,1900-01-01 08:24:00,15.9,14.6,6.9,4.6,51.7,63.3,58.3,2.13,52.9,3.6,56.7,6.7,0.64,-0.1,776.0,4.0,0.42,48.2,33.7,2889.0,3.4,1.34,1.54,1
TT,15,CN,41,0.415,0.8,1797,-88,1900-01-01 06:38:00,12.9,16.1,5.1,6.6,48.8,31.7,31.7,1.73,40.3,3.6,57.5,47.25,0.83,-0.1,-912.0,4.18,0.41,42.9,32.7,2521.0,3.3,1.35,1.4,1
UCAM Esports,15,ES,16,0.5,0.93,1779,-38,1900-01-01 09:57:00,13.2,14.2,6.4,6.2,50.0,75.0,43.8,1.81,39.0,2.9,33.3,43.8,0.56,0.3,653.0,4.81,0.5,36.9,31.8,2420.0,3.3,1.17,1.35,3
ULF Esports,15,TR,20,0.35,0.82,1794,-96,1900-01-01 07:50:00,14.0,17.0,4.9,6.7,40.0,55.0,50.0,1.9,41.4,2.7,60.0,25.0,1.05,-0.1,-487.0,2.65,0.45,52.9,32.8,2613.0,2.9,1.1,1.34,3
Ultra Prime,15,CN,29,0.379,0.89,1783,-78,1900-01-01 09:46:00,13.3,14.9,5.2,6.4,51.7,31.0,41.4,2.34,50.6,2.5,58.6,47.25,0.83,-0.1,-529.0,4.18,0.76,57.7,32.7,2363.0,3.6,1.5,1.47,1
Underworld Esports,15,IT,16,0.438,0.84,1782,-94,1900-01-01 08:15:00,13.4,15.8,6.1,7.1,62.5,31.3,37.5,2.44,50.1,3.1,56.3,31.3,0.88,0.0,-463.0,4.81,0.75,59.0,31.0,2438.0,2.7,0.77,0.89,3
Unicorns of Love Sexy Edition,15,DE,16,0.188,0.64,1761,-227,1900-01-01 08:43:00,11.6,18.1,4.8,8.8,43.8,43.8,31.3,1.69,38.5,2.4,31.3,18.8,0.63,-0.4,-851.0,3.56,0.44,26.7,33.0,2522.0,3.1,1.07,1.33,3
VARREL YOUTH,15,JP,6,0.667,0.97,1806,27,1900-01-01 05:34:00,15.3,15.7,6.7,4.7,16.7,66.7,66.7,2.67,61.1,4.2,50.0,16.7,1.33,0.0,-542.0,2.83,0.5,60.0,31.3,2670.0,2.6,1.05,1.27,3
Veni Vidi Vici,15,ES,23,0.609,1.04,1849,27,1900-01-01 07:01:00,15.3,14.7,6.7,5.4,30.4,39.1,47.8,2.7,56.1,2.6,39.1,60.9,1.0,-0.3,-953.0,4.13,0.61,70.6,32.3,2685.0,2.8,0.82,1.26,3
Venomcrest Esports,15,EUW,13,0.308,0.62,1764,-162,1900-01-01 09:21:00,13.7,22.0,5.2,7.8,38.5,53.8,53.8,2.15,45.8,2.5,46.2,38.5,0.85,0.0,-1153.0,4.69,0.46,40.0,30.9,2829.0,3.1,0.95,1.2,3
Verdant,15,EUW,23,0.522,1.19,1848,34,1900-01-01 09:03:00,17.0,14.3,6.5,6.5,69.6,69.6,65.2,2.57,53.9,3.9,69.6,60.9,0.83,0.7,1339.0,4.65,0.52,47.5,32.4,2847.0,2.9,0.97,1.22,3
Vietnam,15,KR,5,0.2,0.69,1698,-298,1900-01-01 08:25:00,13.2,19.2,2.6,9.4,20.0,47.2,47.599999999999994,1.6,33.1,2.2,40.0,47.25,0.6,-0.8,-2601.0,2.4,0.6,23.3,31.7,2360.0,3.6,1.36,1.37,1
Vitality.Bee,15,FR,10,0.5,0.83,1847,-34,1900-01-01 14:49:00,15.1,18.0,6.4,7.4,50.0,40.0,60.0,2.4,43.9,2.4,50.0,60.0,1.2,0.0,-776.0,4.5,1.0,48.3,33.0,2737.0,3.5,1.16,1.53,3
Vivo Keyd Stars,15,LAT,10,0.6,1.17,1874,106,1900-01-01 09:58:00,15.9,13.6,7.1,5.3,30.0,20.0,30.0,2.3,50.5,1.9,60.0,60.0,0.7,-0.5,95.0,2.5,0.7,61.1,33.4,2817.0,3.1,1.09,1.72,3
Vivo Keyd Stars Academy,15,BR,10,0.7,1.46,1907,211,1900-01-01 05:26:00,13.4,9.1,7.9,3.8,40.0,70.0,50.0,2.7,64.3,3.2,60.0,70.0,1.0,0.3,914.0,3.4,0.7,85.7,35.3,2508.0,3.5,1.38,1.6,3
wangting,15,TW,6,0.667,1.54,2047,240,1900-01-01 08:37:00,26.7,17.3,8.0,5.0,66.7,50.0,50.0,3.0,73.7,3.8,66.7,33.3,1.5,0.2,982.0,5.67,0.83,63.3,33.6,3104.0,3.3,1.17,1.31,3
WAP Esports,15,LAT,7,0.429,0.93,1812,-20,1900-01-01 09:52:00,17.7,19.0,5.9,7.0,14.3,57.1,42.9,2.43,51.1,2.6,42.9,42.9,0.57,0.3,-83.0,4.57,0.43,33.3,31.8,2905.0,3.0,0.94,1.05,3
Weibo Gaming,15,CN,31,0.548,1.01,1841,9,1900-01-01 08:09:00,14.5,14.3,6.4,5.7,51.6,48.4,25.8,2.42,55.3,3.1,48.4,47.25,0.83,-0.1,157.0,4.18,0.42,41.0,33.0,2483.0,3.5,1.28,1.6,1
West Point Esports,15,TW,37,0.649,1.15,1936,111,1900-01-01 06:29:00,20.3,17.6,7.2,4.9,51.4,67.6,51.4,1.73,47.3,2.9,56.8,45.9,0.62,0.5,962.0,5.11,0.54,51.7,32.2,3099.0,2.9,1.0,1.22,3
White Dragons,15,PT,7,0.571,1.56,1967,278,1900-01-01 03:35:00,19.4,12.3,6.3,4.1,42.9,71.4,71.4,2.0,58.3,4.1,71.4,57.1,0.86,1.0,2984.0,6.43,0.43,75.0,32.6,3023.0,2.8,0.78,0.95,3
Winthrop University,15,NA,11,0.455,0.95,1772,-32,1900-01-01 08:33:00,11.4,12.0,5.5,6.2,54.5,45.5,36.4,2.45,50.0,2.6,72.7,27.3,0.64,-0.1,84.0,4.18,0.55,45.5,33.5,2046.0,3.2,1.05,1.44,2
WLGaming Esports,15,GR,23,0.435,1.04,1820,-2,1900-01-01 10:00:00,18.3,17.5,6.5,6.4,52.2,52.2,69.6,2.17,46.9,4.3,60.9,47.8,0.83,0.3,803.0,4.65,0.35,30.6,30.4,2751.0,2.8,0.95,1.23,3
